id,razao,cnpj,contato,telefone,celular,cidade,estado,email,cond_pgto,cond_transporte,cep,end_numero,complemento,logradouro,bairro
32,EDSCHA,02.612.907/0001-37,ANDRESSA,(15)2101-8842,N,SOROCABA,SP,AndMiranda@edscha.com,"30 DDL","CIF- POSTO NA S/FABRICA - SOROCABA-SP",N,N,NULL,NULL,NULL
33,EDSCHA,02.612.907/0001-37,RAFAEL,(15)2101-8842,N,SOROCABA,SP,rgomes@edscha.com,"30 DDL","CIF- POSTO NA S/FABRICA - SOROCABA-SP",N,N,NULL,NULL,NULL
34,ELETROLUMINAR,62.331.848/0005-84,ROGERIO,(11)2106-3633/3635,N,"VARGEM GRANDE PAULISTA",SP,compras3@eletroluminar.com.br,"30 DDL","CIF- POSTO NA S/FABRICA- VARGEM GRANDE PAULISTA",N,N,NULL,NULL,NULL
35,EUCATEX,56.643.018/0002-47,RUBENS,"(14)3811 5394",N,"SÃO PAULO",SP,rsneto@eucatex.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
36,FERRONORTE,04.505.326/0001-21,GILSON,(86)3215-4993,(86)99948-0623,"MONTE CLAROS",SP,"gestao.seguranca@ferronorteindustrial.com.br ","30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",N,N,NULL,NULL,NULL
37,"FICOSA DO BRASIL LTDA",00.839.627/0001-30,"JOSE HOMERO",(11)96369-5869,N,JANDIRA,SP,jose.homero@ficosa.com,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",N,N,NULL,NULL,NULL
38,"FIXOMOLDE METALURGICA TECNOLOGIA EM SET-UP LTDA",07.562.871/0001-48,GISELE,(14)3811-3812,N,BOTUCATU,SP,compras2@fixomolde.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
39,"FUNDICAO MORENO LTDA",02.483.898/0001-21,NADIA,(16)3946-5000,N,SP,SP,nadia.martinelli@moreno.ind.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",14175-000,1150,NULL,NULL,NULL
40,"FUNDICAO MORENO LTDA ",02.483.898/0001-21,TAMIRIS,"(16)3946 5013",N,SERTAOZINHO,SP,tamiris.miguel@moreno.ind.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",14175-000,1150,NULL,NULL,NULL
41,"FUSAO LIGAS",05.620.585/0001-66,GIZELLE,(31)3852-238,N,"JOÃO MONLEVADE",MG,suprimentos@fusaoligas.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
42,"GESTAMP - TAUBATE",02.147.467/0005-18,DANIEL,(12)3267-6418,N,TAUBATÉ,SP,dferreiradebrito@br.gestamp.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",12042-010,1800,NULL,NULL,NULL
43,"GESTAMP SOROCABA",29.726.259/0001-04,RODRIGO,(15)3229-9162,N,SOROCABA,SP,rmartins@br.gestamp.com,"30 DDL","CIF- POSTO NA S/FABRICA - SOROCABA-SP",18047-620,2000,NULL,NULL,NULL
44,"GSN DO BRASIL METALURGICA LTDA",05.557.185/0001-53,CARLITO,(19)3414-4646,"(19) 3426-3597",PIRACICABA,SP,adm@filtrali.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
45,"HAVI FERRAMENTAS EQUIPAMENTOS E ACESSORIOS LTDA",31.252.110/0001-74,WALMIR,(11)2607-6255,N,MOOCA,SP,"haviferramentas@gmail.com ","30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
46,"IND. METALURGICA FUNPERLITA EIRELI",46.987.384/0001-89,ANDERSON,(19)3493-9410,N,"RIO DAS PEDRAS",SP,compras@funperlita.com.br,"30 DDL","CIF - POSTO NA S/FABRICA - RIO DAS PEDRAS- SP",N,N,NULL,NULL,NULL
47,"INTERNACIONAL CABOS",01.987.706/0001-51,CAIO,(03)3358-2525,N,GUARUJÁ,SP,vendas1@internacionalcabos.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
48,"JAGUAR INDUSTRIA E COMERCIO DE PLASTICOS S.A",48.839.872/0001-74,RAFAEL,(19)3311-2821,N,JAGUARIUNA,SP,"rafael.furlaneto@jaguar.ind.br ","30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",13916-058,636,NULL,NULL,NULL
49,"JAGUARMOLD INDUSTRIA E COMERCIO LTDA",02.470.960/0001-40,"JOSE LUIS","19) 3867-0058",N,N,N,N,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
50,"JODAC COM. DE FERRAGENS E FERRAMENTAS LTDA",03.776.025/0001-70,"JOSE NASCIMENTO",(11)2386-7075,(11)95148-9135,"SÃO PAULO",SP,"jnascimento@jodacferramentas.com.br     ","30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
51,"JSL S/A",52.548.435/0237-05,ADEMAR,19)3303-8774,(11)99555-6090,SUMARÉ,SP,ademar.silva@jsl.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",13178-902,155,NULL,NULL,NULL
52,"JUNIOR FLEX INDUSTRIA E PARTICIPACOES LTDA",02.600.415/0001-21,ANDRE,(11)4136-4500,N,ARAÇARIGUAMA,SP,andre.santos@juniorflex.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
53,"KING COMERCIAL LTDA",67.250.878/0001-56,LEDA,(19)3267-9611,N,CAMPINAS,SP,vendas.ledapereira@outlook.com,"30 DDL","FOB - DEFRAN - PORTO FELIZ - SP",N,N,NULL,NULL,NULL
54,"KOMATSU DO BRASIL LTDA",44.410.199/0001-00,MATHEUS,(11)4745-7198,(11)99019-4385,SUZANO,SP,matheus.silva@komatsu.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
55,"LANXESS IND. PROD. QUIM. PLAST. LTDA",06.176.436/0002-01,PAULO,(15)3261-9309,N,"PORTO FELIZ",SP,paulohenrique.dealmeida@lanxess.com,"30 DDL","CIF - POSTO NA S/FABRICA - PORTO FELIZ -SP",18540-850,"KM 139",NULL,NULL,NULL
56,"LAP FERRAMENTARIA E USINAGEM - LTDA",28.496.801/0001-09,MARCONDES,(11)4330-1444,"(11)99938-4014 ","SÃO BERNARDO DO CAMPO",SP,projeto@lapferramentaria.com.br,"30 DDL","SEDEX (A ACRESCENTAR)",09.771-211,1799,NULL,NULL,NULL
57,"LINGATEC SOLUCAO EM MOVIMENTACAO DE CARGAS LTDA",06.956.806/0001-34,APARECIDO,(11)4441-5422,N,CAIEIRAS,SP,compras@lingatec.com.br,"30 DDL","SEDEX (A ACRESCENTAR)",N,N,NULL,NULL,NULL
58,"LINGATEC SOLUCAO EM MOVIMENTACAO DE CARGAS LTDA",06.956.806/0001-34,ROSE,(11)4441-5420,N,CAIEIRAS,SP,vendas3@lingatec.com.br,"30 DDL","SEDEX(A ACRESCENTAR)",N,N,NULL,NULL,NULL
59,"M&I CALDEIRARIA",08.857.640/0001-24,FERNANDA,(15)3032-2260,N,VOTORANTIN,SP,fernanda.ismerim@meicaldeiraria.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
60,"MARCHESAN IMPLEMENTOS E MAQUINAS AGRICOLAS TATU S/A",52.311.289/0001-63,RONALDO,(16)3382-8389,"(16)3382-1001 ",MATÃO,SP,ronaldo@marchesan.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",15994-900,1979,NULL,NULL,NULL
61,"MAXION STRUCTURAL COMPONENTS",00.736.859/0001-63,ACAUA,"(12)3184-1143 ",N,CRUZEIRO,SP,acaua@maxionsc.com,"30 DDL","FOB - TRANSPORTADORA GAT LOGISTICA - SP",12730-900,83,NULL,NULL,NULL
62,"MAXION STRUCTURAL COMPONENTS",00.736.859/0001-63,NEWTON,"(12)3184-1143 ",N,CRUZEIRO,SP,newtonas@maxionsc.com,"30 DDL","FOB - TRANSPORTADORA GAT LOGISTICA - SP",12730-900,83,NULL,NULL,NULL
63,"MECANICA  BONFANTI",51.378.321/0001-65,CIRO,(19)3573-4400,(19)99626-1142,LEME,SP,ciro.gallo@bonfanti.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",13612-410,1700,NULL,NULL,NULL
64,"MECANICA  BONFANTI",51.378.321/0001-65,FERNANDO,(19)3573-4408,N,LEME,SP,Fernando.conti@bonfanti.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",13612-410,1700,NULL,NULL,NULL
65,MEFSA,54.378.195/0001-37,THIAGO,(19)3415-9208,N,PIRACICABA,SP,compras.thiago@mefsa.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",13405-971,"KM 176",NULL,NULL,NULL
66,MEFSA,54.378.195/0001-37,RUBIA,(19)3415-9207,N,PIRACICABA,SP,seguranca.trabalho@mefsa.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",13405-971,"KM 176",NULL,NULL,NULL
67,"MEGA SUPRIMENTO",28.842.898/0001-64,"JOAO PAULO",(21)3540-5884,N,"NOVA IGUAÇU",RJ,comercial2@comercialvichietti.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
68,"MEGALASER LTDA",08.614.279/0001-05,VITOR,(19)99343-5304,N,CAPIVARI,SP,vitor.bernardi@megalaser.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
69,"MERCEDES BENZ DO BRASIL LTDA",59.104.273/0014-43,TALITA,(11)4173-6573,N,"SÃO BERNARDO DO CAMPO",SP,talita.sotto.mayor@accenture.com,"30 DDL","CIF - POSTO NA S/FABRICA - CAMPINAS -SP",13054-750,679,NULL,NULL,NULL
70,"METALURGICA SCHADEK LTDA",60.851.417/0006-02,ALEX,(15)3262-3112,N,"PORTO FELIZ",SP,alex.sasahara@schadek.com.br,"30 DDL","CIF- POSTO S/FABRICA - PORTO FELIZ-SP",N,N,NULL,NULL,NULL
71,"METALURGICA MOCOCA S/A",52.502.945/0001-05,N,(19)3656-9315,N,MOCOCA,SP,compras@mococa.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
72,"METSO BRASIL INDUSTRIA E COMERCIO LTDA",16.622.284/0010-89,LUCAS,(15)2102-1882,N,SOROCABA,SP,"lucas.r.silva@mogrouppartners.com ","30 DDL","CIF - POSTO NA S/FABRICA - SOROCABA - SP",18087-149,5501,NULL,NULL,NULL
73,"METSO BRASIL INDUSTRIA E COMERCIO LTDA",16.622.284/0010-89,JOAO,(15)2102-1882,N,SOROCABA,SP,joao.macedo@mogroup.com,"30 DDL","CIF - POSTO NA S/FABRICA - SOROCABA - SP",18087-149,5501,NULL,NULL,NULL
74,"MODULLO USINAGEM",61.008.546/0001-83,NIVALDO,"(11)4555 7663",N,MAUA,SP,"cotacao@modullousinagem.com.br ","30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",09371-310,384,NULL,NULL,NULL
75,"MOVEQUIP DO BRASIL",03.259.193/0001-98,MATHEUS,(16)2137-8405,N,"RIBEIRÃO PRETO",SP,matheus.silva@movequip.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
76,"NCO METALICOS",09.537.159/0001-14,ALEX,(19)3515-8200,(19)98207-8664,VALINHOS,SP,"compras@ ncometalicos.com.br","30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
77,"NEADE - ELEVACAO E MOVIMENTACAO DE CARGAS",61.138.129/0001-55,RICARDO,(11)3566-4450,(11)94260-4384,CAMBUCI,SP,ricardo@neade.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
78,"NEPASS - EQUIP. COMERCIAIS E INDUSTRIAIS E SERVICOS LTDA",12.403.089/0001-16,VITOR,(21)3620-4993,N,CACHAMBI,RJ,vitor.cousaquiviti@nepass.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA RODONAVES EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
79,"NEW GLASS IMPORTACOES E EXPORTACOES LTDA",30.800.020/0002-99,WERLEY,(47)3046-1947,(47)99780-0305,ARAUCÁRIA,PR,compras@newglassind.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",83708-072,1171,NULL,NULL,NULL
80,"NUCLEP - NUCLEBRAS EQUIPAMENTOS PESADOS S/A",42.515.882/0003-30,PAMELA,(21)3781-4594,N,ITAGUAI,RJ,pamela.souza@nuclep.gov.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
81,"OSM OFFSTORE",20.861.218/0001-48,JULIANA,"(21) 3540-5884",N,"NOVA IGUAÇU",RJ,comercial@osmoffshore.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
84,"PLANUSI EQUIPAMENTOS INDUSTRIAIS LTDA",03.329.291/000-154,"LUIZ CARLOS",(16)3513-9900,N,SERTAOZINHO,SP,compras@planusi.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
85,POLISTAMPO,00.736.859/0001-63,ALEXANDRE,(11)4066-9300,N,DIADEMA,SP,"qualidade.tec@polistampo.com.br ","30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
86,"PR CORREA COMERCIO DE MANGUEIRAS E EQUIPAMENTOS",11.203.299/0001-06,VICTOR,(22)2142-5570,N,MACAÉ,RJ,vendas4@hpuoffshore.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
87,"PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A",61.150.751/0091-35,ANDERSON,(15)3235-6672,N,SOROCABA,SP,"anderson.ricardo.ex@prysmiangroup.com ","30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
88,"QUALITY FIX DO BRASIL",06.234.065/0001-88,ELAINE,(11)4463-7950,N,"SANTO ANDRÉ",SP,elaine.oliveira@qualityfix.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
89,"ReT COMERCIO DE ACESSORIOS INDUSTRIAIS LTDA",32.532.592/0001-89,VITOR,(11)2301-1274,"(11)2301-1274 ","SÃO PAULO",SP,vitor@rtsuprimentos.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
90,"RAIZEN POLO PARAGUACU PAULISTA -SP",08.070.508/0125-08,RAFAEL,(18)3361-8910,N,"PARAGUAÇU PAULISTA",SP,rafael.manzano@raizen.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",14815-000,S/N,NULL,NULL,NULL
91,"RDB COM. ID. E SERV. DE EQUIP. E PECAS INDUSTRIAIS LTDA",06.004.755/0001-40,N,N,N,N,SP,N,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
92,"REPAMA EQUIPAMENTOS INDUSTRIAIS LTDA",07.599.313/0001-57,MAIRA,"(16) 99242-2943",N,N,SP,maira.aparecida@pamafund.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
93,RINGGING,08.453.348/0001-46,CARLOS,(11)2532-0529,(11)94397-7507,"SÃO PAULO",SP,carlos.diniz@riggingbrasil.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
94,"RODOCAMI TRANSPORTES",18.940.915/0001-42,N,N,(42)99924-0312,"PONTA GROSSA",PR,nchambrek@gmail.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
95,RODOCAMIÂ TRANSPORTESÂ RODOVIARIOSÂ LTDA,18.940.915/0002-23,N,(42)99924-0312,N,"PONTA GROSSA",PR,nchambrek@gmail.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
96,"SAINT-GOBAIN CANALIZACAO",08.453.348/0001-46,GABRIEL,(37)3249-1117,N,ITAUNA,MG,"IL: gabriel.rabelo@saint-gobain.com","30 DDL","FOB - DEFRAN - PORTO FELIZ - SP",N,N,NULL,NULL,NULL
97,"SCANIA LATIN AMERICA",59.104.901/0001-76,PAULA,(11)3190-3055,N,"SÃO BERNARDO DO CAMPO",SP,logistica.cotacoes@scania.com,"28 DDL","CIF - POSTO NA SCANIA S.B.DO CAMPO - SP",09810-902,151,NULL,NULL,NULL
98,SEMIKRON,02.409.573/0001-07,FERNANDO,(11)3521-3900,(11)96058-1458,CARAPICUIBA,SP,vendas6@unibrae.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
99,"SERVAL SERVICOS E EQUIPAMENTOS INDUSTRIAIS LTDA",03.374.226/0001-40,CRISTIANO,"(24) 3511-0500",N,"PARAIBA DO SUL",RJ,compras03@servalservicos.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
